TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
CLASSES - FIF;05.075.861/0001-52;BB TOP EURO FUNDO DE INVESTIMENTO FINANCEIRO CAMBIAL LONGO PRAZO RESPONSABILIDADE LIMITADA;2025-04-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;1631651.20;;;SDE;DI1 X REU
CLASSES - FIF;11.702.084/0001-21;SAINT GERMAIN FUNDO DE INVESTIMENTO MULTI - RESPONSANBILIDADE LIMITADA;2025-04-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;4181011.52;;2025-07-29;Outros;999 X 999
CLASSES - FIF;11.702.084/0001-21;SAINT GERMAIN FUNDO DE INVESTIMENTO MULTI - RESPONSANBILIDADE LIMITADA;2025-04-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;22955942.13;;2025-07-29;Outros;999 X 999
CLASSES - FIF;11.886.391/0001-00;CLASSE A DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-04-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;582500.16;;;SDP;DI1 X PRE
CLASSES - FIF;13.107.003/0001-70;PASCAL FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO IE - RESPONSABILIDADE LIMITADA;2025-04-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;102900458.20;;2025-07-29;Outros;999 X 999
CLASSES - FIF;14.239.657/0001-10;CAIXA MASTER CAPITAL PROTEGIDO IBOVESPA CICLICO I FIF MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-04-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1852676.80;;;SDP;DI1 X PRE
CLASSES - FIF;16.916.060/0001-99;CAIXA INDEXA OURO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO LONGO PRAZO - RESP LIMITADA;2025-04-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1923868.15;;;Outros;999 X 999
CLASSES - FIF;16.916.060/0001-99;CAIXA INDEXA OURO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO LONGO PRAZO - RESP LIMITADA;2025-04-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;15903847.77;;;Outros;999 X 999
CLASSES - FIF;22.013.952/0001-82;SANTANDER PB AMÉRICA MULTIMERCADO CRÉDITO PRIVADO - FUNDO DE INVESTIMENTO FINANCEIRO;2025-04-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1295200.50;;2025-07-29;SDP;DI1 X PRE
CLASSES - FIF;22.013.978/0001-20;SANTANDER PB TAORMINA MULTIMERCADO CRÉDITO PRIVADO - FUNDO DE INVESTIMENTO FINANCEIRO;2025-04-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;533655.10;;2025-07-29;SDP;DI1 X PRE
CLASSES - FIF;22.963.439/0001-52;TREND OURO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-04-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;8277677.26;;2025-07-29;Outros;999 X 999
CLASSES - FIF;22.975.153/0001-97;GLADIUS FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-04-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;8308468867.10;;2025-07-29;Outros;999 X 999
CLASSES - FIF;22.975.153/0001-97;GLADIUS FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-04-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;53837762.45;;2025-07-29;SLP;IAP X PRE
CLASSES - FIF;22.975.153/0001-97;GLADIUS FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-04-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;848695559.62;;2025-07-29;SDL;DI1 X IAP
CLASSES - FIF;22.975.153/0001-97;GLADIUS FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-04-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1760230675.11;;2025-07-29;SDP;DI1 X PRE
CLASSES - FIF;22.975.153/0001-97;GLADIUS FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-04-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;4280036.40;;2025-07-29;SNP;IND X PRE
CLASSES - FIF;22.975.153/0001-97;GLADIUS FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-04-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;11851742.12;;2025-07-29;SDE;DI1 X REU
CLASSES - FIF;22.975.153/0001-97;GLADIUS FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-04-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;19009469.41;;2025-07-29;SEP;REU X PRE
CLASSES - FIF;22.975.153/0001-97;GLADIUS FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-04-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;176646282.91;;2025-07-29;SLP;IAP X PRE
CLASSES - FIF;22.975.153/0001-97;GLADIUS FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-04-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;3903532935.20;;2025-07-29;Outros;999 X 999
CLASSES - FIF;22.975.153/0001-97;GLADIUS FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-04-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;1495254097.05;;2025-07-29;SDP;DI1 X PRE
CLASSES - FIF;22.975.153/0001-97;GLADIUS FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-04-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;3231330080.77;;2025-07-29;SDL;DI1 X IAP
CLASSES - FIF;23.720.458/0001-10;FALX FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-04-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;132597052.44;;2025-07-29;Outros;999 X 999
CLASSES - FIF;23.720.458/0001-10;FALX FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-04-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;105785200.83;;2025-07-29;SDP;DI1 X PRE
CLASSES - FIF;23.720.458/0001-10;FALX FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-04-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;14115897.81;;2025-07-29;SDL;DI1 X IAP
CLASSES - FIF;23.720.458/0001-10;FALX FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-04-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;62899390.64;;2025-07-29;Outros;999 X 999
CLASSES - FIF;23.720.458/0001-10;FALX FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-04-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;380638479.01;;2025-07-29;SDP;DI1 X PRE
CLASSES - FIF;23.720.458/0001-10;FALX FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-04-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;5556931.10;;2025-07-29;SDL;DI1 X IAP
CLASSES - FIF;24.018.842/0001-39;SCORPIO FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-04-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;5556931.10;;2025-07-29;SDL;DI1 X IAP
