TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;ID_DOC;VL_PATRIM_LIQ;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_ATIVO;DS_ATIVO;DT_VENC;PF_PJ_EMISSOR;CPF_CNPJ_EMISSOR;EMISSOR;RISCO_EMISSOR;CD_SELIC;DT_INI_VIGENCIA;CD_PAIS;PAIS;CD_BV_MERC;BV_MERC
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;1194075.00;294813.00;820206.00;208246.68;2372325.00;640527.75;;;AMOB3;;;;;;;;2024-12-16;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;1040375.00;21207534.95;714630.00;14442155.70;1999583.00;42511134.58;;;ALOS3;;;;;;;;2023-10-25;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;2499800.00;111402362.96;1717104.00;74378945.76;3996690.00;176174095.20;;;JBSS3;;;;;;;;2007-03-29;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;851150.00;2927967.74;584652.00;1855906.16;1691314.00;6105643.54;;;LWSA3;;;;;;;;2020-02-06;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;4313750.00;182766626.00;2963100.00;124974633.00;4887433.00;214802680.35;;;ELET3;;;;;;;;1983-09-01;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;424125.00;8502173.55;291330.00;5670065.70;526169.00;10412884.51;;;SLCE3;;;;;;;;2007-06-15;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;11765300.00;147629037.04;8081544.00;101665661.24;16008517.00;215954894.33;;;B3SA3;;;;;;;;2018-03-26;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;556800.00;22131294.72;382464.00;15306408.96;383737.00;15951947.09;;;EGIE3;;;;;;;;2016-07-21;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;2164125.00;27352390.80;1486530.00;18515746.05;2731277.00;36735675.65;;;CCRO3;;;;;;;;2002-02-01;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;1761750.00;31694757.30;1210140.00;21546542.70;2650541.00;50227751.95;;;TIMS3;;;;;;;;2020-10-13;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;1139915.00;2551604.12;783038.00;1687006.94;1825788.00;3961959.96;;;CVCB3;;;;;;;;2013-12-09;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;2498350.00;75116769.50;1716108.00;51466182.30;3368828.00;107869872.56;;;RDOR3;;;;;;;;2021-06-25;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;9317700.00;500924050.20;6400296.00;340546641.12;18508191.00;978342976.26;;;VALE3;;;;;;;;1982-02-15;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;706150.00;5754430.96;485052.00;3946706.44;614508.00;5487556.44;;;AURE3;;;;;;;;2022-03-28;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;994700.00;12411358.96;683256.00;8395967.72;1248945.00;16223795.55;;;FLRY3;;;;;;;;2009-12-17;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;2378000.00;41158817.60;1633440.00;28316994.40;2242455.00;39982972.65;;;UGPA3;;;;;;;;1999-10-13;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;273325.00;5510405.42;187746.00;3848016.38;376730.00;8329500.30;;;VIVA3;;;;;;;;2019-10-10;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;1009200.00;3983667.36;693216.00;2597346.72;1088134.00;4602806.82;;;PCAR3;;;;;;;;1995-10-03;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;808375.00;17089850.30;555270.00;11831276.15;1154557.00;27847914.84;;;HYPE3;;;;;;;;2008-04-18;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;596754.00;15295476.02;410036.00;10186310.06;658975.00;16335990.25;;;CYRE3;;;;;;;;1996-05-27;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;2654950.00;50285045.96;1823676.00;33374845.46;3060413.00;59372012.20;;;RAIL3;;;;;;;;2017-03-13;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;3592375.00;21198530.55;2467590.00;14493573.20;2726245.00;16739144.30;;;CMIN3;;;;;;;;2021-05-03;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;1602250.00;100422090.60;1100580.00;68962298.60;1901117.00;123420515.64;;;EMBR3;;;;;;;;1989-08-28;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;2936250.00;25131100.50;2016900.00;17121294.00;3203857.00;29443445.83;;;ASAI3;;;;;;;;2021-03-01;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;4209350.00;53541306.32;2891388.00;36428818.04;7200180.00;97274431.80;;;ENEV3;;;;;;;;2013-10-22;;;;
